Metric,Published,Reproduced,AbsoluteError,RelativeError,LowerBound,UpperBound,Criterion,Required,Pass
Perfect proportion by 1000,0.9,0.9,0,0,0.855,0.945,relative error <= 5% (author raw endpoint),1,1
Perfect proportion by 2000,1,0.9,0.1,0.1,0.95,1.05,relative error <= 5% (author raw endpoint),1,0
Median reported iteration,1000,1000,0,0,950,1050,relative error <= 5% (author raw endpoint),1,1
Mean final objective,0,0.00546230331460566,0.00546230331460566,NaN,-1e-12,1e-12,absolute error <= numerical zero tolerance,1,0
Mean recovery RMSE,0.134743212907013,0.153522060578515,0.0187788476715019,0.139367670299366,0.116338050296472,0.153148375517555,inside preregistered author-row 95% t interval,0,0
Median recovery RMSE,0.13304573321886,0.154027594278319,0.0209818610594585,0.15770412588086,NaN,NaN,descriptive only,0,1
