hypothesis,component,decision,old_value,hybrid_value,paired_effect,ci95_lower,ci95_upper,threshold,coverage_old,coverage_hybrid,additional_evidence,source_run_id,aggregation_run_id,artifact_id,artifact_sha256
H2,H2a_quality_preservation,PASS_CONFIDENCE_BOUND,94.9367% median test accuracy,94.9016% median test accuracy,-0.0263125 percentage point,-0.0676607 percentage point,-0.0012530 percentage point,95% BCa lower >= -0.10 percentage point,,30/30 baseline gains,Hybrid higher/equal/lower in 9/1/20 pairs,31934321927,31934816828,9260332711,8efc217b690f1c3e6698cb9aa0f55207d93f10e6390087c6e9f425d935bea21a
H2,H2b_subset_compactness,PASS,5.5 median selected features,5.0 median selected features,-1 feature,,,paired median difference <= 0,,,Hybrid fewer/equal/more in 16/7/7 pairs,31934321927,31934816828,9260332711,8efc217b690f1c3e6698cb9aa0f55207d93f10e6390087c6e9f425d935bea21a
H2,H2c_logical_nfe_economy,PASS_CONFIDENCE_BOUND,319.0 median capped NFE,141.5 median capped NFE,55.4990% median relative reduction,34.9110%,64.9701%,95% BCa lower >= 20%,29/30,30/30,Hybrid faster in 26/30 pairs; restricted-mean reduction 41.8318%,31934321927,31934816828,9260332711,8efc217b690f1c3e6698cb9aa0f55207d93f10e6390087c6e9f425d935bea21a
H2,composite_source_compatible_efficiency,SUPPORTED_SOURCE_COMPATIBLE_ONLY,,,,,,H2a AND H2b AND H2c,,,,Applies only to the frozen source-compatible profile; corrected official-UCI C-H1 fails,31934321927,31934816828,9260332711,8efc217b690f1c3e6698cb9aa0f55207d93f10e6390087c6e9f425d935bea21a
