role,url,revision,tree,path,git_blob,bytes,sha256,license_or_access_status,local_copy
paper,https://erepo.uef.fi/bitstreams/d830b9f9-feb4-4b2e-b5ae-9352293a63f7/download,10.1093/bioinformatics/btaa144,,garbo-paper.pdf,,461136,f3c96ce1f7d19f3e2e077844b368755ee006881f0f0b6cbdcc14d001d522d9da,institutional full text; redistribution not asserted,no
licensed-source,https://github.com/Greco-Lab/GARBO,9727e017371484dd5837a0859b41c195a87fd8d0,995ee6c51315ea52d0e82211fb708e32b45800bb,GARBO.py,2c3de81f0fd9f510a31e5f7adcc7d25023454aad,35668,1ef92bbcf1ae66a0996a7aa7c56d7b057a50de9b0d4a7cbdfc9b25c724b63a67,GPL-3.0 applies at licensed revision,no
licensed-source,https://github.com/Greco-Lab/GARBO,9727e017371484dd5837a0859b41c195a87fd8d0,995ee6c51315ea52d0e82211fb708e32b45800bb,runGARBO.py,f45c8e4e4754f847ced7fc57f3c8fe13b4c49d32,2702,0cda6df4129a0e56d251a349c74b6556df6e1dadd90726ac1c8bc50e9e356469,GPL-3.0 applies at licensed revision,no
licensed-source,https://github.com/Greco-Lab/GARBO,9727e017371484dd5837a0859b41c195a87fd8d0,995ee6c51315ea52d0e82211fb708e32b45800bb,README.md,31c4d39c30cdd7390cd90cfce1d6a57b4dd5645c,3783,367233e2a99d49236eb77542c9c6ec9aeb12b4cc52ad4552ec284c3ca71ee365,GPL-3.0 repository scope at licensed revision,no
dimension-evidence,https://github.com/Greco-Lab/GARBO,9727e017371484dd5837a0859b41c195a87fd8d0,995ee6c51315ea52d0e82211fb708e32b45800bb,data_ccle_erl_ge.csv,a9fe81da8bb21e487b72be849864f57cb29374e8,1761174,03b3f9efcbbc78c45373a310fbd1f9462618ed147d42124336b2a64e4d1ed860,dataset license/provenance unresolved and not claimed,no
license-text,https://github.com/Greco-Lab/GARBO,9727e017371484dd5837a0859b41c195a87fd8d0,995ee6c51315ea52d0e82211fb708e32b45800bb,LICENSE,f288702d2fa16d3cdf0035b15a9fcbc552cd88e7,35149,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,GPL-3.0,no
paper-era-identical-source,https://github.com/Greco-Lab/GARBO,1854385ffb0be85ef8deeeda45980aaed6e50207,2c5240ae8ec6396db3a3ff15586cb23c7be83ed3,GARBO.py,2c3de81f0fd9f510a31e5f7adcc7d25023454aad,35668,1ef92bbcf1ae66a0996a7aa7c56d7b057a50de9b0d4a7cbdfc9b25c724b63a67,no license file existed at this revision,no
paper-era-identical-source,https://github.com/Greco-Lab/GARBO,1854385ffb0be85ef8deeeda45980aaed6e50207,2c5240ae8ec6396db3a3ff15586cb23c7be83ed3,runGARBO.py,f45c8e4e4754f847ced7fc57f3c8fe13b4c49d32,2702,0cda6df4129a0e56d251a349c74b6556df6e1dadd90726ac1c8bc50e9e356469,no license file existed at this revision,no
